id_aprendizaje,item_original,categoria_actual,alimento_referencia,id_equivalente_catalogo,
1,HUEVOS A LA MEXICANA,Proteína (moderado aporte de grasa),HUEVO,115,Proteína (moderado aporte de grasa)
2,TORTILLAS DE MAIZ,CEREALES SIN GRASA,TORTILLA DE MAÃZ,14,CEREALES SIN GRASA
3,KEFIR,LECHE,YOGHUR NATURAL,71,LECHE
4,YOPLAIT YOGHURT NATURAL,LECHE,YOGHUR NATURAL,71,LECHE
5,ISADORA FRIJOLES REFRITOS BAYOS,LEGUMINOSAS,FRIJOL COCIDO,63,LEGUMINOSAS
6,PLATANO,FRUTA,PLÃTANO,58,FRUTA
7,"ATUN LIGERO (EN AGUA, ENLATADO)",Proteína (muy bajo aporte de grasa),ATÃN EN AGUA DRENADO,72,Proteína (muy bajo aporte de grasa)
8,SANISSIMO RICE CAKE,CEREALES SIN GRASA,ARROZ COCIDO,1,CEREALES SIN GRASA
9,tortillas de maiz,CEREALES SIN GRASA,TORTILLA DE MAÃZ,14,CEREALES SIN GRASA
10,arroz blanco cocido,CEREALES SIN GRASA,ARROZ COCIDO,1,CEREALES SIN GRASA
11,yoplait yoghurt natural,LECHE,YOGHUR NATURAL,71,LECHE
12,semillas secas de chia,aceite con proteína,SEMILLA DE CHÃA,130,aceite con proteína
13,calabaza,VERDURA,CALABACITA CRUDA,21,VERDURA
14,zanahoria,VERDURA,ZANAHORIA RALLADA,41,VERDURA
15,queso provolone,Proteína (moderado aporte de grasa),QUESO MOZZARELLA,118,Proteína (moderado aporte de grasa)
16,isadora frijoles refritos bayos,LEGUMINOSAS,FRIJOL COCIDO,63,LEGUMINOSAS
17,leche entera,LECHE,LECHE LIGHT,70,LECHE
18,arrachera,Proteína (bajo aporte de grasa),ARRACHERA CRUDA,95,Proteína (bajo aporte de grasa)
19,nopales,VERDURA,NOPAL COCIDO,35,VERDURA
20,chia,aceite con proteína,SEMILLA DE CHÃA,130,aceite con proteína
21,leche (leche entera),LECHE,LECHE LIGHT,70,LECHE
22,platano,FRUTA,PLÃTANO,58,FRUTA
23,yogur natural,LECHE,YOGHUR NATURAL,71,LECHE
24,"atun ligero (en agua, enlatado)",Proteína (muy bajo aporte de grasa),ATÃN EN AGUA DRENADO,72,Proteína (muy bajo aporte de grasa)
25,sanissimo rice cake,CEREALES SIN GRASA,ARROZ COCIDO,1,CEREALES SIN GRASA
26,chayote,VERDURA,CHAYOTE COCIDO,23,VERDURA
27,kirkland signature queso monterrey jack,Proteína (moderado aporte de grasa),QUESO MOZZARELLA,118,Proteína (moderado aporte de grasa)
28,aguacate,aceite sin proteína,AGUACATE HASS,137,aceite sin proteína
29,fresas,FRUTA,FRESA REBANADA,45,FRUTA
30,atun en agua (enlatado),Proteína (muy bajo aporte de grasa),ATÃN EN AGUA DRENADO,72,Proteína (muy bajo aporte de grasa)
31,pechuga de pollo empanada,Proteína (muy bajo aporte de grasa),MILANESA DE POLLO,87,Proteína (muy bajo aporte de grasa)
32,mission wraps,CEREALES SIN GRASA,TORTILLA DE MAÃZ,14,CEREALES SIN GRASA
